Rate,Effect,Noise_T,Noise_U,Size,C_Type,T_AUC,U_AUC,AVG_AUC,S_Type,AUC
0.05,0.05,0,0,1000,KNeighborsClassifiern_neighbors1,0.785320754312,0.768319172791,0.776819963551,TargetMaxTreatment,0.630551952055
0.05,0.05,0,0,1000,KNeighborsClassifiern_neighbors2,0.844937564459,0.828952863724,0.836945214091,TargetMaxTreatment,0.705102856589
0.05,0.05,0,0,1000,KNeighborsClassifiern_neighbors4,0.892958107578,0.883709158922,0.88833363325,TargetMaxTreatment,0.784766184404
0.05,0.05,0,0,1000,KNeighborsClassifiern_neighbors20,0.946970356547,0.934426856678,0.940698606613,TargetMaxTreatment,0.896855572891
0.05,0.05,0,0,1000,KNeighborsClassifiern_neighbors450,0.898616720173,0.913305596735,0.905961158454,TargetMaxTreatment,0.861784123102
0.05,0.05,0,0,1000,KNeighborsClassifiern_neighbors700,0.846388223908,0.868795583398,0.857591903653,TargetMaxTreatment,0.768453509751
0.05,0.05,0,0,1000,KNeighborsClassifiern_neighbors900,0.784078243175,0.786422244539,0.785250243857,TargetMaxTreatment,0.702736722761
