Rate,Effect,Noise_T,Noise_U,Size,C_Type,T_AUC,U_AUC,AVG_AUC,S_Type,AUC
0.08,0.12,0.7,0.7,0,PerfectClassifier,0.64951838035,0.659652128366,0.654585254358,TargetLeastLikely,0.476603147623
0.08,0.12,0.7,0.7,0,PerfectClassifier,0.64951838035,0.659652128366,0.654585254358,TargetMostLikely,0.624866180237
0.08,0.12,0.7,0.7,0,PerfectClassifier,0.64951838035,0.659652128366,0.654585254358,TargetMaxTreatment,0.601423695702
0.08,0.12,0.75,0.75,0,PerfectClassifier,0.61606559084,0.616404538293,0.616235064566,TargetLeastLikely,0.474245500133
0.08,0.12,0.75,0.75,0,PerfectClassifier,0.61606559084,0.616404538293,0.616235064566,TargetMostLikely,0.599162773407
0.08,0.12,0.75,0.75,0,PerfectClassifier,0.61606559084,0.616404538293,0.616235064566,TargetMaxTreatment,0.573334746033
0.08,0.12,0.8,0.8,0,PerfectClassifier,0.595604126065,0.603811510865,0.599707818465,TargetLeastLikely,0.478766214307
0.08,0.12,0.8,0.8,0,PerfectClassifier,0.595604126065,0.603811510865,0.599707818465,TargetMostLikely,0.581167858213
0.08,0.12,0.8,0.8,0,PerfectClassifier,0.595604126065,0.603811510865,0.599707818465,TargetMaxTreatment,0.55986763132
0.08,0.12,0.85,0.85,0,PerfectClassifier,0.566261104241,0.567536065602,0.566898584922,TargetLeastLikely,0.486366272902
0.08,0.12,0.85,0.85,0,PerfectClassifier,0.566261104241,0.567536065602,0.566898584922,TargetMostLikely,0.555260964865
0.08,0.12,0.85,0.85,0,PerfectClassifier,0.566261104241,0.567536065602,0.566898584922,TargetMaxTreatment,0.541569758296
0.08,0.12,0.9,0.9,0,PerfectClassifier,0.536053058329,0.547192482442,0.541622770386,TargetLeastLikely,0.495228266187
0.08,0.12,0.9,0.9,0,PerfectClassifier,0.536053058329,0.547192482442,0.541622770386,TargetMostLikely,0.52920405394
0.08,0.12,0.9,0.9,0,PerfectClassifier,0.536053058329,0.547192482442,0.541622770386,TargetMaxTreatment,0.524383103473
0.08,0.12,0.95,0.95,0,PerfectClassifier,0.52397275201,0.52208760419,0.5230301781,TargetLeastLikely,0.494520660174
0.08,0.12,0.95,0.95,0,PerfectClassifier,0.52397275201,0.52208760419,0.5230301781,TargetMostLikely,0.518637658304
0.08,0.12,0.95,0.95,0,PerfectClassifier,0.52397275201,0.52208760419,0.5230301781,TargetMaxTreatment,0.513114852561
0.08,0.12,1.0,1.0,0,PerfectClassifier,0.493953353928,0.498326667894,0.496140010911,TargetLeastLikely,0.501915405141
0.08,0.12,1.0,1.0,0,PerfectClassifier,0.493953353928,0.498326667894,0.496140010911,TargetMostLikely,0.494055639217
0.08,0.12,1.0,1.0,0,PerfectClassifier,0.493953353928,0.498326667894,0.496140010911,TargetMaxTreatment,0.495936203799
0.8,0.12,0.0,0.0,0,PerfectClassifier,1.0,1.0,1.0,TargetLeastLikely,0.954648783815
0.8,0.12,0.0,0.0,0,PerfectClassifier,1.0,1.0,1.0,TargetMostLikely,0.545464878381
0.8,0.12,0.0,0.0,0,PerfectClassifier,1.0,1.0,1.0,TargetMaxTreatment,1.0
0.8,0.12,0.05,0.05,0,PerfectClassifier,0.973764941804,0.978125,0.975944970902,TargetLeastLikely,0.92603140771
0.8,0.12,0.05,0.05,0,PerfectClassifier,0.973764941804,0.978125,0.975944970902,TargetMostLikely,0.526733516176
0.8,0.12,0.05,0.05,0,PerfectClassifier,0.973764941804,0.978125,0.975944970902,TargetMaxTreatment,0.952660637781
0.8,0.12,0.1,0.1,0,PerfectClassifier,0.949167973381,0.949180613409,0.949174293395,TargetLeastLikely,0.89052962651
0.8,0.12,0.1,0.1,0,PerfectClassifier,0.949167973381,0.949180613409,0.949174293395,TargetMostLikely,0.514457065092
0.8,0.12,0.1,0.1,0,PerfectClassifier,0.949167973381,0.949180613409,0.949174293395,TargetMaxTreatment,0.904891827843
0.8,0.12,0.15,0.15,0,PerfectClassifier,0.925411273195,0.920949053178,0.923180163187,TargetLeastLikely,0.857144316747
